title,genres,director,actors,keywords,overview
A Jornada Quântica,Science Fiction|Adventure|Action,Alex Rivera,"Zoe Saldana,Idris Elba,Oscar Isaac",time travel|parallel universe|quantum physics,"Uma física descobre uma forma de viajar entre realidades, mas fica presa em um universo onde a humanidade perdeu a guerra contra as máquinas."
Sombras de Neon,Thriller|Mystery|Crime,Sofia Coppola,"Anya Taylor-Joy,Daniel Kaluuya,Willem Dafoe",neo-noir|conspiracy|detective,"Em uma cidade chuvosa e iluminada por neon, um detetive particular investiga o desaparecimento de uma cantora, descobrindo uma conspiração corporativa."
O Último Alquimista,Fantasy|Adventure|Drama,Guillermo del Toro,"Eddie Redmayne,Eva Green,Tom Hiddleston",alchemy|magic|immortality,"Um alquimista secular busca o ingrediente final para a Pedra Filosofal, uma jornada que o força a confrontar os fantasmas de seu passado imortal."
Ecos do Silêncio,Drama|Mystery,Denis Villeneuve,"Florence Pugh,Timothée Chalamet,Jake Gyllenhaal",memory loss|grief|isolation,"Após um acidente traumático, uma mulher com amnésia tenta reconstruir sua vida, mas flashes de memória sugerem que seu passado não era o que lhe contaram."
Código Vermelho: Infiltração,Action|Thriller,Kathryn Bigelow,"Jessica Chastain,Michael B. Jordan,Chris Evans",espionage|cia|double agent,"Uma agente da CIA é traída durante uma missão e precisa provar sua inocência enquanto foge de sua própria agência."
A Herdeira da Lua,Fantasy|Romance,Jane Campion,"Saoirse Ronan,Dev Patel,Cate Blanchett",magic|prophecy|royal court,"Uma jovem descobre que é a herdeira de um reino mágico lunar e deve dominar seus poderes para impedir uma guerra iminente."
Crônicas de Aethelgard,Fantasy|Adventure,Peter Jackson,"Tom Holland,Anya Chalotra,Mads Mikkelsen",dragon|quest|epic fantasy,"Um jovem escudeiro se une a uma feiticeira e um cavaleiro renegado para encontrar uma espada lendária capaz de derrotar um dragão que aterroriza o reino."
Projeto Quimera,Science Fiction|Thriller,Alex Garland,"Alicia Vikander,Domhnall Gleeson,Riz Ahmed",artificial intelligence|android|consciousness,"Cientistas criam o primeiro androide com consciência própria, mas o ser começa a desenvolver seus próprios planos misteriosos."
O Ladrão de Memórias,Science Fiction|Drama|Mystery,Christopher Nolan,"John David Washington,Elizabeth Debicki,Robert Pattinson",memory|heist|subconscious,"Uma equipe de ladrões usa tecnologia para invadir os sonhos das pessoas e roubar memórias valiosas, mas seu último trabalho os coloca em um labirinto mental."
Sinfonia do Caos,Action|Crime|Drama,David Fincher,"Adam Driver,Jodie Comer,Mahershala Ali",heist|orchestra|revenge,"Um maestro genial planeja um assalto elaborado durante a noite de estreia de sua sinfonia para se vingar do homem que arruinou sua carreira."
Interestelar,Science Fiction|Drama|Adventure,Christopher Nolan,"Matthew McConaughey,Anne Hathaway,Jessica Chastain",space travel|black hole|relativity,"Com a Terra morrendo, uma equipe de astronautas viaja através de um buraco de minhoca em busca de um novo lar para a humanidade."
A Origem,Science Fiction|Action|Adventure,Christopher Nolan,"Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page",dream|subconscious|heist,"Um ladrão que rouba segredos corporativos através do uso da tecnologia de compartilhamento de sonhos recebe a tarefa inversa de plantar uma ideia na mente de um CEO."
O Poderoso Chefão,Drama|Crime,Francis Ford Coppola,"Marlon Brando,Al Pacino,James Caan",mafia|crime family|patriarch,"O patriarca de uma dinastia do crime organizado transfere o controle de seu império clandestino para seu filho relutante."
Batman: O Cavaleiro das Trevas,Action|Crime|Drama,Christopher Nolan,"Christian Bale,Heath Ledger,Aaron Eckhart",dc comics|joker|vigilante,"Quando a ameaça conhecida como Coringa emerge de seu passado misterioso, ele causa estragos e caos nas pessoas de Gotham."
A Lista de Schindler,Biography|Drama|History,Steven Spielberg,"Liam Neeson,Ben Kingsley,Ralph Fiennes",holocaust|world war ii|nazi,"Na Polônia ocupada pelos alemães durante a Segunda Guerra Mundial, o industrial Oskar Schindler gradualmente se preocupa com sua força de trabalho judaica depois de testemunhar sua perseguição pelos nazistas."
Pulp Fiction: Tempo de Violência,Crime|Drama,Quentin Tarantino,"John Travolta,Uma Thurman,Samuel L. Jackson",nonlinear timeline|gangster|hitman,"As vidas de dois assassinos da máfia, um boxeador, a esposa de um gângster e um par de bandidos se entrelaçam em quatro contos de violência e redenção."
O Senhor dos Anéis: O Retorno do Rei,Action|Adventure|Drama,Peter Jackson,"Elijah Wood,Viggo Mortensen,Ian McKellen",fantasy|quest|middle-earth,"Gandalf e Aragorn lideram o Mundo dos Homens contra o exército de Sauron para desviar seu olhar de Frodo e Sam enquanto se aproximam da Montanha da Perdição com o Um Anel."
Forrest Gump: O Contador de Histórias,Drama|Romance,Robert Zemeckis,"Tom Hanks,Robin Wright,Gary Sinise",biography|vietnam war|love,"As presidências de Kennedy e Johnson, o evento do Vietnã, o escândalo de Watergate e outros eventos históricos se desenrolam através da perspectiva de um homem do Alabama com um QI de 75."
Clube da Luta,Drama,David Fincher,"Brad Pitt,Edward Norton,Helena Bonham Carter",insomnia|anarchy|split personality,"Um trabalhador de escritório insone e um fabricante de sabão diabólico formam um clube de luta clandestino que evolui para algo muito, muito maior."
Matrix,Action|Science Fiction,Lana Wachowski|Lilly Wachowski,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",cyberpunk|virtual reality|chosen one,"Um hacker de computador aprende com rebeldes misteriosos sobre a verdadeira natureza de sua realidade e seu papel na guerra contra seus controladores."
Os Bons Companheiros,Biography|Crime|Drama,Martin Scorsese,"Robert De Niro,Ray Liotta,Joe Pesci",mafia|gangster|biography,"A história de Henry Hill e sua vida na máfia, cobrindo seu relacionamento com sua esposa Karen Hill e seus parceiros da máfia Jimmy Conway e Tommy DeVito."
O Silêncio dos Inocentes,Crime|Drama|Thriller,Jonathan Demme,"Jodie Foster,Anthony Hopkins,Lawrence A. Bonney",fbi|serial killer|cannibalism,"Uma jovem cadete do FBI deve ter a ajuda de um assassino canibal manipulador e encarcerado para ajudar a capturar outro assassino em série."
Guerra nas Estrelas: Episódio V - O Império Contra-Ataca,Action|Adventure|Fantasy,Irvin Kershner,"Mark Hamill,Harrison Ford,Carrie Fisher",space opera|rebellion|jedi,"Depois que os Rebeldes são brutalmente dominados pelo Império no planeta de gelo Hoth, Luke Skywalker começa o treinamento Jedi com Yoda."
Parasita,Comedy|Drama|Thriller,Bong Joon Ho,"Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong",class struggle|dark comedy|social commentary,"A ganância e a discriminação de classe ameaçam o relacionamento simbiótico recém-formado entre a rica família Park e a pobre família Kim."
Gladiador,Action|Adventure|Drama,Ridley Scott,"Russell Crowe,Joaquin Phoenix,Connie Nielsen",roman empire|gladiator|revenge,"Um general romano traído é forçado a se tornar um gladiador, e sua fama na arena o leva a uma vingança contra o imperador que assassinou sua família."
O Resgate do Soldado Ryan,Drama|War,Steven Spielberg,"Tom Hanks,Matt Damon,Tom Sizemore",world war ii|d-day|normandy,"Após o desembarque na Normandia, um grupo de soldados americanos vai atrás das linhas inimigas para resgatar um paraquedista cujos três irmãos foram mortos em ação."
A Viagem de Chihiro,Animation|Family|Fantasy,Hayao Miyazaki,"Rumi Hiiragi,Miyu Irino,Mari Natsuki",anime|spirit world|coming of age,"Durante a mudança de sua família para o subúrbio, uma menina de 10 anos vagueia por um mundo governado por deuses, bruxas e espíritos, e onde os humanos são transformados em bestas."
Cidade de Deus,Crime|Drama,Fernando Meirelles|Kátia Lund,"Alexandre Rodrigues,Leandro Firmino,Phellipe Haagensen",favela|gang violence|rio de janeiro,"Nas favelas do Rio, dois meninos que crescem no mesmo ambiente seguem caminhos muito diferentes: um se torna fotógrafo, o outro, traficante."
Blade Runner 2049,Science Fiction|Drama,Denis Villeneuve,"Ryan Gosling,Harrison Ford,Ana de Armas",cyberpunk|replicant|dystopia,"Um jovem Blade Runner descobre um segredo há muito enterrado que o leva a procurar o ex-Blade Runner Rick Deckard, que está desaparecido há 30 anos."
Duna,Science Fiction|Adventure,Denis Villeneuve,"Timothée Chalamet,Rebecca Ferguson,Oscar Isaac",space opera|desert planet|prophecy,"A jornada mítica e emocional de Paul Atreides, um jovem brilhante e talentoso nascido com um grande destino além de sua compreensão."
Mad Max: Estrada da Fúria,Action|Adventure|Science Fiction,George Miller,"Tom Hardy,Charlize Theron,Nicholas Hoult",post-apocalyptic|dystopia|chase,"Em um deserto pós-apocalíptico, uma mulher se rebela contra um governante tirânico em busca de sua terra natal com a ajuda de um grupo de prisioneiras e um andarilho chamado Max."
O Grande Hotel Budapeste,Adventure|Comedy|Drama,Wes Anderson,"Ralph Fiennes,F. Murray Abraham,Mathieu Amalric",concierge|heist|1930s,"As aventuras de Gustave H, um lendário concierge em um famoso hotel da fictícia República de Zubrowka entre a primeira e a segunda guerras mundiais, e Zero Moustafa, o lobby boy que se torna seu amigo mais confiável."
Whiplash: Em Busca da Perfeição,Drama|Music,Damien Chazelle,"Miles Teller,J.K. Simmons,Melissa Benoist",jazz|drummer|obsession,"Um jovem e promissor baterista se matricula em um conservatório de música de primeira linha, onde seus sonhos de grandeza são orientados por um instrutor implacável que não vai parar por nada para realizar o potencial de um aluno."
No Limite do Amanhã,Action|Science Fiction,Doug Liman,"Tom Cruise,Emily Blunt,Bill Paxton",time loop|alien invasion|exosuit,"Um soldado lutando contra alienígenas tem que reviver o mesmo dia repetidamente, o dia começando pouco antes de ele morrer na batalha."
O Labirinto do Fauno,Drama|Fantasy|War,Guillermo del Toro,"Ivana Baquero,Ariadna Gil,Sergi López",spanish civil war|fairy tale|dark fantasy,"Na Espanha fascista de 1944, a jovem enteada de um sádico oficial do exército escapa para um mundo de fantasia misterioso, mas cativante."
O Segredo dos Seus Olhos,Drama|Mystery|Romance,Juan José Campanella,"Ricardo Darín,Soledad Villamil,Pablo Rago",unsolved case|justice|love,"Um oficial de justiça aposentado escreve um romance na esperança de encontrar um desfecho para um de seus casos de homicídio não resolvidos do passado e para seu amor não correspondido por sua ex-chefe."
Brilho Eterno de uma Mente sem Lembranças,Drama|Romance|Science Fiction,Michel Gondry,"Jim Carrey,Kate Winslet,Tom Wilkinson",memory erasure|love|breakup,"Quando seu relacionamento azeda, um casal passa por um procedimento médico para apagar um ao outro de suas memórias."
Oldboy,Action|Drama|Mystery,Park Chan-wook,"Choi Min-sik,Yoo Ji-tae,Kang Hye-jeong",revenge|imprisonment|mystery,"Depois de ser sequestrado e aprisionado por quinze anos, Oh Dae-Su é libertado, apenas para descobrir que ele deve encontrar seu captor em cinco dias."
Onde os Fracos Não Têm Vez,Crime|Drama|Thriller,Ethan Coen|Joel Coen,"Tommy Lee Jones,Javier Bardem,Josh Brolin",hitman|drug deal|texas,"Violência e caos se seguem depois que um caçador tropeça em uma cena de crime de drogas e mais de dois milhões de dólares em dinheiro perto do Rio Grande."
Sangue Negro,Drama,Paul Thomas Anderson,"Daniel Day-Lewis,Paul Dano,Ciarán Hinds",oil tycoon|greed|prospector,"A história de um garimpeiro de prata que se tornou magnata do petróleo em sua busca por riqueza durante o boom do petróleo do sul da Califórnia no final do século XIX e início do século XX."
O Lobo de Wall Street,Biography|Comedy|Crime,Martin Scorsese,"Leonardo DiCaprio,Jonah Hill,Margot Robbie",stockbroker|wall street|greed,"Baseado na história verídica de Jordan Belfort, desde sua ascensão a um rico corretor da bolsa vivendo a vida alta até sua queda envolvendo crime, corrupção e o governo federal."
Django Livre,Drama|Western,Quentin Tarantino,"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio",slavery|bounty hunter|revenge,"Com a ajuda de um caçador de recompensas alemão, um escravo liberto sai para resgatar sua esposa de um brutal proprietário de uma plantação no Mississippi."
Bastardos Inglórios,Adventure|Drama|War,Quentin Tarantino,"Brad Pitt,Diane Kruger,Eli Roth",world war ii|nazi hunting|alternate history,"Na França ocupada pelos nazistas durante a Segunda Guerra Mundial, um plano para assassinar líderes nazistas por um grupo de soldados judeus dos EUA coincide com os planos vingativos do proprietário de um cinema."
O Fabuloso Destino de Amélie Poulain,Comedy|Romance,Jean-Pierre Jeunet,"Audrey Tautou,Mathieu Kassovitz,Jamel Debbouze",paris|waitress|imagination,"Amélie é uma garçonete inocente e ingênua em Paris com seu próprio senso de justiça. Ela decide ajudar as pessoas ao seu redor e, ao longo do caminho, descobre o amor."
A Chegada,Drama|Science Fiction,Denis Villeneuve,"Amy Adams,Jeremy Renner,Forest Whitaker",alien communication|linguistics|first contact,"Uma linguista trabalha com os militares para se comunicar com formas de vida alienígenas depois que doze naves espaciais misteriosas aparecem em todo o mundo."
Her,Drama|Romance|Science Fiction,Spike Jonze,"Joaquin Phoenix,Amy Adams,Scarlett Johansson",artificial intelligence|loneliness|love,"Em um futuro próximo, um escritor solitário desenvolve um relacionamento improvável com um sistema operacional projetado para atender a todas as suas necessidades."
Corra!,Horror|Mystery|Thriller,Jordan Peele,"Daniel Kaluuya,Allison Williams,Bradley Whitford",racism|hypnosis|suburban horror,"Um jovem afro-americano visita os pais de sua namorada branca no fim de semana, onde seu nervosismo inicial sobre a recepção deles acaba sendo nada comparado ao verdadeiro horror que o espera."
Moonlight: Sob a Luz do Luar,Drama,Barry Jenkins,"Mahershala Ali,Trevante Rhodes,Naomie Harris",coming of age|lgbt|identity,"Uma crônica da infância, adolescência e vida adulta de um jovem negro gay que cresce em um bairro violento de Miami."
La La Land: Cantando Estações,Comedy|Drama|Music,Damien Chazelle,"Ryan Gosling,Emma Stone,Rosemarie DeWitt",los angeles|jazz|musical,"Enquanto navegam em suas carreiras em Los Angeles, um pianista e uma atriz se apaixonam enquanto tentam conciliar suas aspirações para o futuro."
O Jogo da Imitação,Biography|Drama|Thriller,Morten Tyldum,"Benedict Cumberbatch,Keira Knightley,Matthew Goode",alan turing|enigma code|world war ii,"Durante a Segunda Guerra Mundial, o gênio matemático Alan Turing tenta quebrar o código alemão Enigma com a ajuda de outros matemáticos."
